2024-03-26 17:50:50 | cleaner | INFO | Cleaner job done. (C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/device_202402102340.pcap)(0.04s),  total_errors= 0
2024-03-26 17:50:50 | cleaner | INFO | Elapsed Time = 0.06696867942810059s
2024-03-26 17:51:10 | cleaner | INFO | Start Data Cleaning
2024-03-26 17:51:10 | cleaner | INFO | Splitting the .pcap file: device_202402102330.pcap
2024-03-26 17:51:10 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-03-26 17:51:10 | cleaner | INFO | Removing (sub) .pcap files.
2024-03-26 17:51:10 | cleaner | INFO | Merging (sub) .csv files to a summary csv
2024-03-26 17:51:10 | cleaner | INFO | Removing (sub) .csv files
2024-03-26 17:51:10 | cleaner | INFO | Cleaner job done. (C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/device_202402102330.pcap)(0.06s),  total_errors= 0
2024-03-26 17:51:10 | cleaner | INFO | Splitting the .pcap file: device_202402102340.pcap
2024-03-26 17:51:10 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-03-26 17:51:10 | cleaner | INFO | Removing (sub) .pcap files.
2024-03-26 17:51:10 | cleaner | INFO | Merging (sub) .csv files to a summary csv
2024-03-26 17:51:10 | cleaner | INFO | Removing (sub) .csv files
2024-03-26 17:51:10 | cleaner | INFO | Cleaner job done. (C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/device_202402102340.pcap)(0.04s),  total_errors= 0
2024-03-26 17:51:10 | cleaner | INFO | Elapsed Time = 0.10392379760742188s
2024-03-26 17:51:35 | cleaner | INFO | Start Data Cleaning
2024-03-26 17:51:35 | cleaner | INFO | Splitting the .pcap file: device_202402102330.pcap
2024-03-26 17:51:35 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-03-26 17:51:35 | cleaner | INFO | Removing (sub) .pcap files.
2024-03-26 17:51:35 | cleaner | INFO | Merging (sub) .csv files to a summary csv
2024-03-26 17:51:35 | cleaner | INFO | Removing (sub) .csv files
2024-03-26 17:51:35 | cleaner | INFO | Cleaner job done. (C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/device_202402102330.pcap)(0.03s),  total_errors= 0
2024-03-26 17:51:35 | cleaner | INFO | Splitting the .pcap file: device_202402102340.pcap
2024-03-26 17:51:35 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-03-26 17:51:35 | cleaner | INFO | Removing (sub) .pcap files.
