2024-03-29 11:28:29 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 11:28:32 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 11:28:32 | detection | INFO | Starting Detection
2024-03-29 11:28:32 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 11:49:47 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 11:51:02 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 11:51:11 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 11:51:11 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 11:51:11 | detection | INFO | Starting Detection
2024-03-29 11:51:11 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 11:52:29 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 11:52:29 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 11:52:29 | detection | INFO | Starting Detection
2024-03-29 11:52:29 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 11:56:27 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 11:57:10 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 11:57:22 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 11:57:25 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 11:57:25 | detection | INFO | Starting Detection
2024-03-29 11:57:25 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 12:05:28 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 12:06:09 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 12:06:19 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 14:02:37 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 14:02:40 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:02:40 | detection | INFO | Starting Detection
2024-03-29 14:02:40 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:03:40 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 14:03:40 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:03:40 | detection | INFO | Starting Detection
2024-03-29 14:03:40 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:05:50 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 14:05:50 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:05:50 | detection | INFO | Starting Detection
2024-03-29 14:05:50 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:12:20 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 14:12:22 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:12:22 | detection | INFO | Starting Detection
2024-03-29 14:12:22 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:14:15 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 14:14:20 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:14:20 | detection | INFO | Starting Detection
2024-03-29 14:14:20 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:15:33 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 14:15:37 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:15:37 | detection | INFO | Starting Detection
2024-03-29 14:15:37 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:18:17 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 14:18:20 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:18:20 | detection | INFO | Starting Detection
2024-03-29 14:18:20 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:18:55 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 14:18:57 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:18:57 | detection | INFO | Starting Detection
2024-03-29 14:18:57 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
